,principal component 1,principal component 2,principal component 3,principal component 4,principal component 5,principal component 6,principal component 7,principal component 8,principal component 9,principal component 10
62,-1.5240523134400092,-0.12106081270782826,0.08444380745535561,-0.605356631561483,-1.6049642515058837,-0.11320290544096236,-0.20545843489381482,0.05057265465306555,4.7665871614933166e-17,4.7984464489919546e-17
63,-1.1065743687464085,-1.3177478471329285,1.0249978294615094,0.6817014062214478,-1.3943497078074232,-0.45693084725933325,-0.9235102571612808,0.007674217424789052,3.0886627252774177e-17,6.891896430980828e-17
64,-1.5396839561400655,-0.3927843225013468,0.10460699053438537,1.7386084139606366,1.312774394389648,-0.9961595801517406,-0.048873606313905894,-0.03718794605684305,-1.1929075168596238e-16,6.308427163761193e-17
65,-2.778874720168135,1.8220847962455564,-1.5275070884683386,-0.6366341065299799,0.9934112036542477,-0.43861224219753464,0.11935057858589916,-0.01789300432346206,-1.1947784980486164e-16,4.613180837602443e-17
66,-1.2306708188960784,0.23171279883579438,0.8969182145284919,1.8351406457869215,0.4764103514874623,0.09796117566466048,-0.047333458834628556,-0.04738478879643288,-3.844087281176953e-17,3.3526190747965716e-17
67,-1.668981647485636,-0.4649161211251265,-0.39971748654136924,-0.5037506352438759,-0.47344659770294245,-0.2676137728413206,-0.9348977437170224,0.031162762107701036,-6.796637404673393e-17,5.791379096122843e-17
68,-0.6716725022482987,-0.870785756908019,1.0647753436837917,0.8732665823939489,-1.2103435912382987,0.6348356683121347,-0.9760983805219096,0.013780456018367023,3.356341915838136e-17,3.377884180532523e-17
69,-1.3605250386946655,-0.049927543328355875,-0.5789342213449452,2.365339304476985,1.0254908636387763,-0.571593485165594,-0.4695904559940333,-0.05760691299727056,-1.1616237580342795e-16,5.0923515473605493e-17
70,-2.7782082210088532,2.304141871265641,-1.3932839190123802,-0.12000014832028376,-0.28711839563113456,-0.049616128217859504,-0.3559487887091545,-0.060411473477138454,-4.489179403150458e-17,4.261519931295635e-17
71,-2.999382951496802,2.169033006561202,-1.1756787703489129,-0.11267110610906327,-0.19700939130498066,-0.1727927884782478,-0.9101647660005462,-0.08971480102949576,-7.555163848436134e-17,5.5277295846986514e-17
