,ID,datetime,Annealing H2 (sccm),Growth H2 (sccm),Growth CH4 (sccm),Growth He (sccm),Cooling H2 (sccm),Cooling CH4 (sccm),Cooling He (sccm),Growth Time (min),Dew Point (C),Temperature (C),Relative Humidity (pct),Res: Graphene Presence,CP: Total Flow Rate (sccm),CP: CH4/Total,CP: CH4/H2,CP: Dil CH4,CP: Set No,Res: pct. Coverage
0,20200921_1,09/21/20 17:00,25,25,0.01716,476.69884,0,0,475,5,7.1,22.5,37.04083543,No,501.716,3.42E-05,0.0006864,TRUE,4,0
1,20200921_2,09/21/20 20:20,25,25,0.01716,476.69884,25,0.01716,476.69884,5,7.98,23,38.15806409,No,501.716,3.42E-05,0.0006864,TRUE,4,0
2,20200922_1,09/22/20 0:50,50,50,0.03432,953.39768,50,0.03432,953.39768,5,8.76,22.5,41.46776282,Yes,1003.432,3.42E-05,0.0006864,TRUE,4,0.10818723
3,20200922_2,09/22/20 10:50,50,50,0.03432,953.39768,50,0.03432,953.39768,5,11.38,22.5,49.40754045,Yes,1003.432,3.42E-05,0.0006864,TRUE,4,0.134163055
4,20200922_3,09/22/20 14:25,25,25,0.01716,476.69884,0,0,475,5,11.24,23,47.48981506,No,501.716,3.42E-05,0.0006864,TRUE,4,0
5,20200922_4,09/22/20 20:30,25,25,0.01716,476.69884,25,0.01716,476.69884,5,10.82,23.3,45.35445075,No,501.716,3.42E-05,0.0006864,TRUE,4,0
6,20200923_2,09/23/20 21:45,25,25,0.01716,476.69884,0,0,475,7.5,9.92,22.9,43.75754682,No,501.716,3.42E-05,0.0006864,TRUE,4,0
7,20200924_1,09/24/20 0:45,50,50,0.03432,953.39768,0,0,950,10,10.34,23,44.7315447,Yes,1003.432,3.42E-05,0.0006864,TRUE,4,0.126065063
8,20200924_3,09/24/20 7:00,50,50,0.03432,953.39768,50,0.03432,953.39768,7.5,11.4,23,47.99556062,Yes,1003.432,3.42E-05,0.0006864,TRUE,4,0.054046631
9,20200924_4,09/24/20 11:00,50,50,0.03432,953.39768,50,0.03432,953.39768,10,11.6,23.2,48.04970825,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
10,20200924_5,09/24/20 22:00,25,25,0.01716,476.69884,0,0,475,7.5,10.94,22.5,47.98722883,Yes,501.716,3.42E-05,0.0006864,TRUE,4,0.017661743
11,20200925_1,09/25/20 7:00,50,50,0.03432,953.39768,0,0,950,10,11.6,22,51.68055901,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
12,20200926_1,09/26/20 3:20,25,25,0.01716,476.69884,25,0.01716,476.69884,7.5,13.56,23,55.3028489,No,501.716,3.42E-05,0.0006864,TRUE,4,0
13,20200926_3,09/26/20 16:30,25,25,0.01716,476.69884,25,0.01716,476.69884,5,12.98,22.5,54.88959934,No,501.716,3.42E-05,0.0006864,TRUE,4,0
14,20200926_4,09/26/20 22:45,25,25,0.01716,476.69884,0,0,475,5,12.98,23,53.25043224,No,501.716,3.42E-05,0.0006864,TRUE,4,0
15,20200927_1,09/27/20 1:05,50,50,0.03432,953.39768,0,0,950,7.5,13.46,23.5,53.3093629,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
16,20200927_2,09/27/20 4:05,50,50,0.03432,953.39768,0,0,950,5,13.48,23.2,54.35425759,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
17,20200927_3,09/27/20 18:50,25,25,0.01716,476.69884,0,0,475,7.5,12.34,22.5,52.63565625,No,501.716,3.42E-05,0.0006864,TRUE,4,0
18,20200927_4,09/27/20 22:40,50,50,0.03432,953.39768,0,0,950,7.5,10.8,22.5,47.54292232,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
19,20200928_1,09/28/20 1:25,50,50,0.03432,953.39768,50,0.03432,953.39768,10,11.46,23.1,47.89579112,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
20,20200928_2,09/28/20 4:00,50,50,0.03432,953.39768,0,0,950,5,11.64,23.4,47.59848813,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
21,20200928_3,09/28/20 7:55,50,50,0.03432,953.39768,50,0.03432,953.39768,5,11.36,22.5,49.34218612,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
22,20200928_4,09/28/20 17:00,25,25,0.01716,476.69884,25,0.01716,476.69884,10,9.5,22.5,43.58725955,No,501.716,3.42E-05,0.0006864,TRUE,4,0
23,20200929_1,09/29/20 8:30,25,25,0.01716,476.69884,0,0,475,10,8.6,22.5,41.02163903,No,501.716,3.42E-05,0.0006864,TRUE,4,0
24,20200929_2,09/29/20 14:00,50,50,0.03432,953.39768,0,0,950,7.5,7.62,22.6,38.14802139,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
25,20201001_1,10/01/20 9:00,25,25,0.01716,476.69884,25,0.01716,476.69884,10,6.02,22.5,34.38990011,No,501.716,3.42E-05,0.0006864,TRUE,4,0
26,20201002_1,10/02/20 9:30,25,25,0.01716,476.69884,0,0,475,10,6.46,21,38.85110913,No,501.716,3.42E-05,0.0006864,TRUE,4,0
27,20201004_1,10/04/20 10:40,50,50,0.03432,953.39768,0,0,950,5,6.8,21.8,37.86758975,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
28,20201006_1,10/06/20 14:00,50,50,0.03432,953.39768,50,0.03432,953.39768,5,8.22,23,38.7851356,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
29,20201006_2,10/06/20 16:45,50,50,0.03432,953.39768,0,0,950,7.5,9,22.2,42.92099691,Maybe,1003.432,3.42E-05,0.0006864,TRUE,4,0
30,20201008_1,10/08/20 10:00,25,25,0.01716,476.69884,25,0.01716,476.69884,7.5,7.38,21.5,40.13096521,No,501.716,3.42E-05,0.0006864,TRUE,4,0
31,20201009_1,10/09/20 10:00,25,25,0.01716,476.69884,0,0,475,10,9.9,21.5,47.58741656,Maybe,501.716,3.42E-05,0.0006864,TRUE,4,0
32,20201011_1,10/11/20 15:15,50,50,0.03432,953.39768,0,0,950,5,13.8,22,59.69055566,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
33,20201011_2,10/11/20 17:45,50,50,0.03432,953.39768,50,0.03432,953.39768,7.5,13.82,22.9,56.58684723,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
34,20201012_1,10/12/20 9:30,50,50,0.03432,953.39768,50,0.03432,953.39768,7.5,13.94,22,60.23537567,No,1003.432,3.42E-05,0.0006864,TRUE,4,0
35,20201012_2,10/12/20 12:30,25,25,0.01716,476.69884,25,0.01716,476.69884,10,13.68,22.3,58.15458631,No,501.716,3.42E-05,0.0006864,TRUE,4,0
36,20201014_1,10/14/20 7:30,25,25,0.01716,476.69884,0,0,475,7.5,5.2,21.5,34.53350525,No,501.716,3.42E-05,0.0006864,TRUE,4,0
37,20201104_1,11/04/20 18:40,25,25,0.01716,476.69884,25,0.01716,476.69884,7.5,9.5,24.5,38.6355554,No,501.716,3.42E-05,0.0006864,TRUE,4,0
