Run Number,Total Gas Flow Rate (sccm),Growth Duration (min),Cooling Type,Gas Flow Rates (He:CH4:H2),Polishing Data,Name,Sample Name,Time of Experiment,SEM,Temperature,Dew Point,Relative Humidity,Graphene Presence,,,,,
43,500,5,NC,475 : 1K : 25,AS_20201116_1,AS,20201116_2,9:30 AM,AS,22.7,0.9,23.68013417,Maybe,,,,,
44,500,10,GC,475 : 1K : 25,AS_20201116_2,AS,20201116_3,4:30 PM,AS,21.5,0.64,25.00363149,Yes,,,,,
45,1000,10,NC,950 : 2K : 50,AS_20201116_2,AS,20201117_1,1:40 PM,AS,21,-1.8,21.58256684,Yes,,,,,
46,1000,10,NC,950 : 2K : 50,AS_20201117_1,AS,20201117_2,6:40 PM,AS,22,-2.46,19.33588605,Yes,,,,,
47,500,10,NC,475 : 1K : 25,AS_20201117_1,AS,20201118_1,1:05 AM,AS,21.5,-2.7,19.58433689,Yes,,,,,
48,500,7.5,GC,475 : 1K : 25,AS_20201118_1,AS,20201118_2,3:50 PM,AS,21.5,-3.02,19.12445892,Yes,,,,,
49,500,5,NC,475 : 1K : 25,JY_20210105_1,JY,20210105_1,10:00 AM,JY,22,0.26,23.59460865,Maybe,,,,,
50,500,7.5,NC,475 : 1K : 25,JY_20210106_1,JY,20210106_1,10:00 AM,JY,22,-0.16,22.8870854,Maybe,,,,,
51,500,10,NC,475 : 1K : 25,JY_20210107_2,JY,20210107_2,12:30 PM,JY,23,-0.68,20.73829362,No,,,,,
52,1000,5,NC,950 : 2K : 50,JY_20210110_1,JY,20210110_1,3:00 PM,JY,22,-3.8,17.50058768,Yes,,,,,
53,1000,7.5,NC,950 : 2K : 50,JY_2021011_1,JY,20210111_1,10:00 AM,JY,22,-3.24,18.24785466,Yes,,,,,
54,1000,10,NC,950 : 2K : 50,JY_20210113_1,JY,20210113_1,9:00 AM,JY,22,-0.7,22.00508556,Yes,,,,,
55,500,5,GC,475 : 1K : 25,JY_20210113_2,JY,20210113_2,3:30 PM,JY,22,1.48,25.76100353,No,,,,,
56,500,7.5,GC,475 : 1K : 25,JY_20210114_1,JY,20210114_1,7:30 AM,JY,21.7,0.26,24.03071555,Maybe,,,,,
57,500,10,GC,475 : 1K : 25,JY_20210114_2,JY,20210114_2,10:00 AM,JY,22.9,1.3,24.07708714,No,,,,,
58,1000,5,GC,950 : 2K : 50,JY_20210115_1,JY,20210115_1,9:00 AM,JY,22,1.1,25.06806863,No,,,,,
59,1000,7.5,GC,950 : 2K : 50,JY_20210120_1,JY,20210120_1,9:00 AM,JY,22,-4.82,16.20905169,No,,,,,
60,1000,10,GC,950 : 2K : 50,JY_20210120_2,JY,20210120_2,12:00 PM,JY,22.8,-4.76,15.50962613,No,,,,,
